post_id'post_id'title'description'source_link'body'image'images
0'719970'Авторская методика количественной оценки сплоченности рабочих групп'В своей повседневной работе я постоянно занимаюсь формированием новых и поддержкой существующих рабочих проектных групп и, по мере накопления опыта, я нашел субъективное подтверждение следующим...'https://habr.com/ru/post/719970/'"В своей повседневной работе я постоянно занимаюсь формированием новых и поддержкой существующих рабочих проектных групп и, по мере накопления опыта, я нашел субъективное подтверждение следующим постулатам:

Сплоченные коллективы работают эффективней, чем разобщенные

Взаимоотношения сотрудников рождаются в процессе совместной деятельности

На достачное сплочение вновь образованной рабочей группы требуется в среднем 3 месяца совместной работы

Поскольку такая деятельность ведется постоянно, у меня возникла потребность сформировать методику, которая облегчила бы мою работу и давала ответы на следующие вопросы:

Как количественно оценить степень сплоченности рабочей группы и выразить это в виде измеримого показателя?

Как сравнивать этот показатель с другими рабочими группами (В идеале - иметь возможность отсортировать рабочие группы по убыванию либо возрастанию данного показателя)?

Как заранее спрогнозировать сплоченность для вновь создаваемых рабочих групп?

Как количественно оценить степень вовлеченности каждого сотрудника?

Как делать все это в любой момент времени дешево и быстро (т.е. без проведения специальных опросов, тестов, наблюдения, анкетирования, интервьюирования и т.п.)?

В итоге я сформулировал для себя такую методику, которую описываю здесь.

Методика эта очень простая, если не сказать примитивная, но она дает результаты, соответствующие действительности, здравому смыслу и субъективным наблюдениям.



Для начала я бы хотел описать несколько тезисов, описывающих окружение, в котором функционируют рабочие группы:

Все сотрудники ведут свою работу только в рамках проектных групп.

В компании одновременно ведется несколько десятков проектов и существует несколько десятков проектных групп.

Каждый сотрудник может одновременно входить в несколько проектных групп.

В компании постоянно формируются новые проектные группы и распускаются старые проектные группы

Вместе с этим существуют устойчивые, длительно не изменяющиеся проектные группы

Практикуется постоянное «пересаживание» членов одной группы в один кабинет

Постоянно проводятся статус-митинги

Для того, чтобы посчитать какой-то показатель, нам нужны исходные данные. И раз уж я решил не проводить специального изучения, то мой выбор пал на ежедневные timesheet'ы (напомню, что это - исторические ежедневные данные о том, на каком проекте и сколько часов отработал каждый сотрудник и что он при этом сделал). Всего в анализе приняли участие данные порядка 300 сотрудников за 6 лет.

Описание методики.

Имея информацию о том, что какие-либо 2 человека в один и тот же день работали над одним и тем же проектом, я могу, на основе своего опыта, сделать вывод, что они, так или иначе, с большой степенью вероятности, взаимодействовали друг с другом (поскольку, как я отметил выше, они сидят в одном кабинете, работают нам общим проектом, ходят на общие статус-митинги и т.д.)

На основе информации о том, на каких проектах сотрудники были заняты в течении любого дня, мы можем построить дневную матрицу взаимодействия сотрудников – своеобразный «снимок» рабочего дня:

Здесь крестиком обозначены пары сотрудников, работавших совместно в этот конкретный день.

Последовательно создавая матрицы взаимодействия всего коллектива компании для каждого нового рабочего дня, можно подсчитать, сколько дней в прошлом (т.е. до этого дня) взаимодействовала каждая пара сотрудников в компании.

В ячейках видно ежедневно увеличивающееся кол-во дней в прошлом, в которых взаимодействовала каждая пара сотрудников.

Полагая, что для достижения максимального уровня сплоченности требуется 3 месяца (64 рабочих дня), я могу посчитать в процентах степень сплоченности каждой пары сотрудников в любой день.

Здесь, С – кол-во дней, которые пара сотрудников вместе работала на каком-либо проекте в прошлом, S – степень сплоченности пары сотрудников в процентах от максимального значения.

Усредняя степень сплоченности пар сотрудников, работавших на проекте в определенный день, можно получить уровень сплоченности всей проектной группы на этот день.

С течением времени уровень сплоченности стабильной группы (𝑆 проекта) повышается.

Добавление новых «незнакомых» сотрудников в группу ведет к падению 𝑆 проекта по причине низких показателей 𝑆𝑖 для новых пар сотрудников, которые, однако, с течением времени повышаются, увеличивая таким образом 𝑆 проекта, что соответствует замыслу методики.

Создание и запуск новой рабочей группы, сформированной из ранее уже работавших вместе сотрудников, сразу будет давать высокие значения 𝑆 проекта, что также соответствует замыслу методики.

А теперь я бы хотел привести несколько примеров динамик изменения уровня сплоченности с течением времени для различных проектов.

На этом графике мы видим, что для данного проекта была сформирована новая рабочая группа из ранее незнакомых сотрудников, группа достигла максимума сплоченности, оставаясь стабильной в течении некоторого времени, потом сплоченность группы падала (в нее привлекались новые члены), но затем ситуация вновь стабилизировалась.

